name,team,position,situation,games_played,icetime,I_F_points,I_F_goals
Vince Dunn,SEA,D,all,31,44071,24,4
Nathan MacKinnon,COL,C,all,29,39282,41,12
Josh Manson,COL,D,all,26,26333,7,2
Tyler Bertuzzi,TOR,L,all,27,26061,9,5
Ryan Shea,PIT,D,all,22,16451,0,0
Teddy Blueger,VAN,C,all,16,14519,5,2
Drew Doughty,LAK,D,all,26,40079,15,7
Michael Eyssimont,TBL,C,all,30,21118,10,4
Gustav Forsling,FLA,D,all,29,39616,9,3
Johnny Gaudreau,CBJ,L,all,31,35512,16,5
Erik Karlsson,PIT,D,all,28,41219,21,6
Samuel Bolduc,NYI,D,all,19,13851,1,0
Ryan Winterton,SEA,C,all,3,1476,0,0
Kevin Hayes,STL,R,all,29,26044,14,8
Brendan Gallagher,MTL,R,all,29,24277,10,5
Ryan McDonagh,NSH,D,all,23,28601,9,1
Filip Zadina,SJS,R,all,25,19762,6,3
Louie Belpedio,PHI,D,all,12,9506,4,2
Kevin Shattenkirk,BOS,D,all,23,22870,8,2
Joona Koppanen,PIT,L,all,3,1336,0,0
Pierre Engvall,NYI,L,all,28,25227,13,4
Adam Pelech,NYI,D,all,16,18846,3,0
Mattias Ekholm,EDM,D,all,26,32309,10,4
Tyler Pitlick,NYR,C,all,20,12123,3,1
Rafael Harvey-Pinard,MTL,L,all,13,10258,4,0
Chris Tanev,CGY,D,all,28,31318,7,1
Sam Bennett,FLA,C,all,17,16936,6,3
Brandon Tanev,SEA,L,all,15,12548,3,2
Rasmus Sandin,WSH,D,all,26,35239,6,0
Jake Guentzel,PIT,L,all,28,34499,32,13
Andrew Cogliano,COL,C,all,25,15575,8,3
Filip Roos,CHI,D,all,2,1692,0,0
Mike Hoffman,SJS,C,all,29,24667,12,8
Dmitry Kulikov,FLA,D,all,26,27403,8,0
Michael Bunting,CAR,L,all,29,25840,19,6
Mikael Granlund,SJS,C,all,23,29046,19,3
Mitchell Stephens,MTL,C,all,6,3024,0,0
Sonny Milano,WSH,L,all,23,16822,8,4
Rickard Rakell,PIT,R,all,17,15896,4,0
Spencer Stastney,NSH,D,all,9,8650,1,1
Ryan O'Reilly,NSH,C,all,30,36045,26,13
Matt Benning,SJS,D,all,14,15523,2,0
Kris Letang,PIT,D,all,28,41649,14,2
Noah Gregor,TOR,C,all,27,17885,6,4
Aaron Ekblad,FLA,D,all,13,16407,3,0
Vladislav Gavrikov,LAK,D,all,25,29826,9,3
JJ Peterka,BUF,R,all,31,30169,22,12
Brett Leason,ANA,R,all,25,18914,8,4
Sammy Blais,STL,L,all,25,16016,6,1
Max Lajoie,TOR,D,all,4,2286,0,0
Jordan Eberle,SEA,R,all,28,29449,14,3
Quinn Hughes,VAN,D,all,30,44166,39,9
Matt Roy,LAK,D,all,26,32539,7,0
Robert Bortuzzo,NYI,D,all,8,5901,0,0
Fabian Zetterlund,SJS,L,all,30,32123,12,8
William Lockwood,FLA,R,all,7,3128,0,0
Yegor Chinakhov,CBJ,R,all,20,17337,11,7
Damon Severson,CBJ,D,all,19,23825,8,3
Andrei Svechnikov,CAR,R,all,16,15931,11,1
Jacob Moverare,LAK,D,all,1,848,0,0
Alex Kerfoot,ARI,C,all,29,29524,15,2
Kyle Connor,WPG,L,all,26,31483,28,17
Pavel Zacha,BOS,C,all,26,28645,19,8
Jordan Kyrou,STL,C,all,29,31390,18,5
Samuel Laberge,NJD,L,all,2,371,0,0
Barrett Hayton,ARI,C,all,16,17872,4,2
Axel Jonsson-Fjallby,WPG,L,all,10,4575,1,0
Blake Coleman,CGY,C,all,30,28733,20,9
Tyson Barrie,NSH,D,all,26,28674,11,1
Connor Bedard,CHI,C,all,29,33717,24,12
Noah Dobson,NYI,D,all,29,44393,29,5
J.T. Compher,DET,L,all,24,27186,19,6
Jack Johnson,COL,D,all,29,25689,6,1
Jalen Chatfield,CAR,D,all,25,21822,8,3
Emil Andrae,PHI,D,all,4,3120,0,0
Darren Raddysh,TBL,D,all,31,34377,9,0
Tom Wilson,WSH,R,all,26,28658,17,10
Rasmus Dahlin,BUF,D,all,30,45050,25,7
Brett Pesce,CAR,D,all,22,26545,4,1
Ryan Nugent-Hopkins,EDM,C,all,27,32109,28,7
MacKenzie Weegar,CGY,D,all,30,40010,18,7
Jonas Rondbjerg,VGK,R,all,6,3938,3,1
Tyler Johnson,CHI,C,all,29,26734,10,6
Devin Shore,SEA,C,all,14,6791,3,1
Grant Hutton,NYI,D,all,2,1052,0,0
Dylan Holloway,EDM,L,all,14,9566,1,1
Jared McCann,SEA,L,all,31,32042,19,14
Jake Sanderson,OTT,D,all,25,35329,14,5
Victor Mete,PHI,D,all,1,652,0,0
Miles Wood,COL,L,all,29,22219,10,5
Trevor van Riemsdyk,WSH,D,all,22,24282,5,0
Rourke Chartier,OTT,C,all,25,16146,2,1
Eetu Luostarinen,FLA,C,all,29,27763,7,4
Joel Kiviranta,COL,L,all,14,9195,5,2
Nathan Bastian,NJD,R,all,25,14967,3,1
Nick Perbix,TBL,D,all,29,27322,6,0
Luke Evangelista,NSH,R,all,29,24379,15,4
Mark Friedman,VAN,D,all,18,13381,1,0
Dmitry Orlov,CAR,D,all,30,30341,12,1
Jake DeBrusk,BOS,L,all,27,27745,11,4
Nic Petan,MIN,C,all,1,514,0,0
Martin Fehervary,WSH,D,all,21,23516,4,0
William Carrier,VGK,L,all,28,18663,5,3
Chris Kreider,NYR,L,all,28,30980,24,16
Evan Bouchard,EDM,D,all,27,36063,32,8
Waltteri Merela,TBL,C,all,14,8888,0,0
Valtteri Puustinen,PIT,R,all,3,2506,2,0
Brayden Schenn,STL,C,all,29,29929,16,8
Roby Jarventie,OTT,L,all,7,3159,1,0
Brandon Biro,BUF,L,all,5,3253,2,2
Evan Rodrigues,FLA,C,all,29,28999,21,6
Jeremy Lauzon,NSH,D,all,30,31083,4,2
Raphael Lavoie,EDM,C,all,6,2734,0,0
Auston Matthews,TOR,C,all,27,35008,35,23
Nick Bonino,NYR,C,all,27,20154,4,1
Darnell Nurse,EDM,D,all,27,36784,10,5
Nico Hischier,NJD,C,all,16,17159,12,6
Keegan Kolesar,VGK,R,all,31,20871,5,2
Alex DeBrincat,DET,R,all,29,31609,26,13
Marco Rossi,MIN,C,all,27,26039,17,10
Declan Chisholm,WPG,D,all,2,1386,1,0
Oliver Wahlstrom,NYI,R,all,17,11886,5,2
Robert Thomas,STL,C,all,29,35928,30,12
Noah Cates,PHI,L,all,21,18167,4,1
Ryan Johnson,BUF,D,all,16,13637,1,0
Boone Jenner,CBJ,C,all,29,33578,18,13
Zach Benson,BUF,L,all,21,18882,10,4
Sam Reinhart,FLA,C,all,29,35529,37,17
Brett Howden,VGK,C,all,29,22815,7,4
Drew O'Connor,PIT,L,all,28,24346,8,2
Alexey Toropchenko,STL,R,all,29,20174,8,5
Nikita Alexandrov,STL,C,all,10,4475,0,0
Ryan Reaves,TOR,R,all,21,9241,1,1
Jiri Kulich,BUF,C,all,1,893,0,0
Joe Veleno,DET,C,all,29,28058,12,7
Kailer Yamamoto,SEA,R,all,31,22958,10,6
Gustav Lindstrm,MTL,D,all,14,12838,4,3
Bowen  Byram,COL,D,all,29,35416,10,5
Kevin Stenlund,FLA,C,all,29,21709,8,6
Jonas Siegenthaler,NJD,D,all,27,32808,6,0
Connor McMichael,WSH,C,all,26,23478,13,6
Zach Aston-Reese,DET,C,all,1,381,0,0
Lucas Raymond,DET,L,all,29,30845,24,10
Mikko Rantanen,COL,R,all,29,39059,36,14
Alexander Romanov,NYI,D,all,29,39500,6,2
Brock Nelson,NYI,C,all,29,30852,25,13
Conor Timmins,TOR,D,all,10,9675,5,1
Matt Martin,NYI,L,all,14,7091,2,1
Mathieu Joseph,OTT,R,all,25,24922,20,6
Logan Cooley,ARI,C,all,29,29311,15,3
Nick Blankenburg,CBJ,D,all,4,4371,0,0
Dennis Gilbert,CGY,D,all,20,15874,4,0
Morgan Rielly,TOR,D,all,27,40566,20,4
Jordan Harris,MTL,D,all,16,17994,3,0
Fredrik Olofsson,COL,L,all,27,17993,6,2
Nils Lundkvist,DAL,D,all,23,20216,7,0
Kirill Marchenko,CBJ,R,all,29,28651,17,9
Nick Schmaltz,ARI,C,all,29,35248,20,9
Mattias Samuelsson,BUF,D,all,27,33125,4,1
Danil Gushchin,SJS,L,all,2,1794,1,0
Joel Hanley,DAL,D,all,9,6872,1,0
Bobby Brink,PHI,R,all,24,21483,14,5
Marc-Edouard Vlasic,SJS,D,all,16,13439,1,0
Zach Hyman,EDM,L,all,26,30305,29,17
Rasmus Kupari,WPG,C,all,15,8124,1,0
Louis Crevier,CHI,D,all,6,5804,2,0
Jordan Oesterle,CGY,D,all,9,7600,0,0
Jamie Oleksiak,SEA,D,all,31,35973,8,2
Jan Rutta,SJS,D,all,25,28345,5,0
Jonathan Gruden,PIT,C,all,3,1385,0,0
Ian Mitchell,BOS,D,all,12,11290,2,0
Bobby McMann,TOR,C,all,6,3130,3,0
Nick Foligno,CHI,L,all,29,30292,12,4
Kurtis MacDermid,COL,D,all,8,2046,2,2
Alex Newhook,MTL,C,all,23,22869,13,7
Alexandre Carrier,NSH,D,all,26,28413,9,1
Morgan Frost,PHI,C,all,19,17577,8,3
David Kampf,TOR,C,all,27,20849,7,4
Anthony Cirelli,TBL,C,all,30,32167,16,8
Brock McGinn,ANA,L,all,12,7589,2,1
Nils Aman,VAN,C,all,9,5786,2,0
Brock Boeser,VAN,R,all,30,33779,36,22
Trevor Moore,LAK,L,all,26,26569,22,13
Moritz Seider,DET,D,all,29,38601,18,5
Andrew Copp,DET,C,all,29,30388,14,5
